VideoIndex,CommentID,UserID,Comment,Number_of_Likes,Number_of_Replies,Updated_At
2,UgztFpdrHDTgOoLtZE14AaABAg,@Natehillsdaughter,"""I love you and miss you very much""




....


*Ok*
Has me dying bro 😭😭😭",6,0,2023-04-12T00:26:53Z
2,UgwvQVgKDeMbwRkA86l4AaABAg,@davetherave3511,Which decent parent leaves their little children home Alone??!!,1,3,2023-04-09T10:13:05Z
2,UgzirxHX9NgQwi1eJtx4AaABAg,@traydaniel0403,"In an interview, Raegan Revord (who played Missy) said that it was actually her stunt double removing the splinter from Sheldon’s finger. She admitted that she was upset that she didn’t get to  do it because she had to work for hours",25,0,2023-04-05T14:52:36Z
2,UgwN7OsWKUe171BK6a14AaABAg,@ChrisManley1994,"*I’VE GOT A SPLINTER!!!!*

So? 😂😂😂😂😂😂",3,0,2023-03-29T21:32:49Z
2,Ugx4FE758DvFVAtkbll4AaABAg,@stardust1815,"I got a splinter in elementary school and it was a big one. Instead of taking it out the nurse put a 🩹 on it. Only made it hurt worse. (To her credit the few times I saw the nurse she was very nice and usually helpful, it was just this one time she didn’t really help.)",0,0,2023-03-24T21:10:24Z
2,UgwaC7NGdnPk5p98dS54AaABAg,@anujlahoty8022,Most hilarious clip,1,0,2023-03-12T16:10:23Z
2,UgzsQwtG7R-cWgM7X0R4AaABAg,@kellychan8856,They both are very adorable.,51,0,2023-03-11T10:53:53Z
2,UgyO6fWFXG5L-1EnPSN4AaABAg,@Url0calhuman,"Mom: ilove u and miss u very much
Young Sheldon: ...ok
Young Sheldon: i handled that really well
🥲",4,0,2023-03-04T07:34:57Z
2,UgzJMuyCCn0YR54r4sR4AaABAg,@kato_dsrdr,"Sheesh, the girl's voice is very cool.",4,0,2023-02-20T02:07:27Z
2,UgwrdbwUXHK-hs_G02d4AaABAg,@sumariahsumariah1471,Your mom shall you go on for hang out with your happyness,0,0,2023-01-20T16:51:44Z
2,Ugw5X5L6d4C6U6htrIZ4AaABAg,@dexterbrockhaus686,This girl is funny,2,0,2023-01-02T17:04:03Z
2,Ugw2Kkbsre-rlRiT6BB4AaABAg,@rishleeyarishan478,In Sheldon show I'm definitely Missy and I ain't lying the most in common we have us being naughty and drama,1,0,2023-01-02T14:02:06Z
2,UgxioICS42RhwZm6dVJ4AaABAg,@masonsmith246,"Mmm

T",0,0,2022-11-30T00:50:08Z
2,Ugwg894kkJHNpFJynJN4AaABAg,@brianbentley4173,The way they scream 😱 hahaha. I'm not going in and you're doing great,15,1,2022-11-13T21:05:40Z
2,Ugwoxxhm3H7Wo27NZVd4AaABAg,@terrymathews774,This is the best show in the world they do look way smaller but Georgie is way taller now,5,0,2022-11-08T22:18:40Z
2,UgxMhqS92NG7jGg8awR4AaABAg,@sophielockhart8177,Why is he so cute,2,0,2022-11-06T17:37:40Z
2,UgxXKWCvDTu5M7_zVa54AaABAg,@marcostephenson1561,BBBBBBBBBB$+$,0,0,2022-11-02T01:46:28Z
2,UgwunJe1-7pB3TVc9_x4AaABAg,@wintergoat6612,Missy really is a sweetheart.,38,1,2022-10-24T20:07:27Z
2,UgwnZ-LOoPHXv11Ulf54AaABAg,@petejones879,I love little missy she's far smarter than sheldon in every day stuff,34,0,2022-10-22T05:40:00Z
2,UgyOt0dDjx1RclAMXLx4AaABAg,@rodildelariarte1448,Did u know Sheldon and missy are twins Sheldon is the older one,4,0,2022-10-18T04:15:24Z
